Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
1,1.984709359278345,1.9284143298864365,0.2549014729299363,0.27470703125,5.378522634506226
2,1.8926596125220037,1.8746046662330627,0.29476015127388533,0.30185546875,5.3879640102386475
3,1.855047261639006,1.8559019595384598,0.316953622611465,0.32119140625,5.3754823207855225
4,1.829435105536394,1.839934277534485,0.3338972929936306,0.32841796875,5.423074722290039
5,1.8064226299334483,1.8153887838125229,0.3455662818471338,0.33974609375,5.40879487991333
6,1.793021428357264,1.8162804991006851,0.35235867834394907,0.340625,5.4391844272613525
7,1.7804132130495303,1.8028052628040314,0.3543988853503185,0.3419921875,5.486327409744263
8,1.7716402012831087,1.800164982676506,0.35668789808917195,0.3416015625,5.5050554275512695
9,1.7650026401896386,1.7967949658632278,0.35947452229299365,0.342578125,5.381556034088135
Mean,,,,,5.421443581581116
Total,,,,,59.63587939739227
Params: 15455,,,,,
---,---,---,---,---,---
