Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,3.695563255601628,3.424911177158356,0.1490595143312102,0.19443359375,6.754497289657593
1,3.1309480363396323,3.191200941801071,0.2480593152866242,0.2400390625,6.8129723072052
2,2.7822792803405956,3.1275096595287324,0.31401771496815284,0.25341796875,6.690735101699829
3,2.469797163252618,3.0801568925380707,0.37587082006369427,0.27216796875,6.608465194702148
4,2.173964190634952,3.121752256155014,0.4452627388535032,0.27021484375,6.611354827880859
5,1.8642085942493123,3.183433985710144,0.518187699044586,0.27822265625,6.572620391845703
6,1.5645202952585402,3.305023509263992,0.5938246417197452,0.2767578125,6.6413352489471436
7,1.2860673218016412,3.414428526163101,0.6666500796178344,0.278515625,6.760514974594116
8,1.0310377330537055,3.549011069536209,0.7355692675159236,0.27255859375,6.627181053161621
9,0.7999247335324622,3.701401722431183,0.7999104299363057,0.26767578125,6.645366191864014
Mean,,,,,6.672504258155823
Total,,,,,73.39754683971405
Params: 9744384,,,,,
---,---,---,---,---,---
0,3.7243983168510875,3.4165394008159637,0.13863455414012738,0.1861328125,7.962825536727905
1,3.166892249113435,3.1902317643165587,0.2314639729299363,0.2306640625,7.863679647445679
2,2.821107741374119,3.0432258009910584,0.29510847929936307,0.25859375,8.346889019012451
3,2.5095975611619887,3.039707601070404,0.35922571656050956,0.2611328125,7.192727565765381
4,2.205926993090636,3.0633934259414675,0.425233877388535,0.27802734375,8.560072898864746
5,1.880158613441856,3.136222892999649,0.5011693869426752,0.283984375,8.360089540481567
6,1.5540388670696574,3.300882399082184,0.5797422372611465,0.2837890625,8.574678897857666
7,1.2297572060755104,3.4591798961162565,0.6686654060509554,0.27685546875,8.458443403244019
8,0.9384231191531868,3.6988966822624207,0.7468152866242038,0.28125,8.10715627670288
9,0.6840670082219846,3.9236009240150453,0.8176005175159236,0.274609375,7.9743547439575195
Mean,,,,,8.140091753005981
Total,,,,,89.54100928306579
Params: 10300416,,,,,
---,---,---,---,---,---
0,3.7215963867819233,3.4614123463630677,0.14497910031847133,0.18857421875,6.589259386062622
1,3.197457612699764,3.2539655566215515,0.23644008757961785,0.227734375,6.528635263442993
2,2.893937448027787,3.1646192014217376,0.2926701831210191,0.24658203125,6.522582769393921
3,2.6432291018735072,3.0881052196025847,0.34457105891719747,0.26474609375,6.501296520233154
4,2.408159567292329,3.120750147104263,0.3964968152866242,0.2630859375,6.489502668380737
5,2.1828278994104666,3.139390009641647,0.44493929140127386,0.26416015625,6.5016703605651855
6,1.9611430160558907,3.1910147190093996,0.49718849522292996,0.2697265625,6.500753164291382
7,1.7513090698582352,3.2501269340515138,0.5488405652866242,0.26650390625,6.626747131347656
8,1.5401760172692074,3.3628673613071443,0.6028314092356688,0.26640625,6.519179821014404
9,1.3483139162610291,3.4396050333976746,0.6538863455414012,0.264453125,6.526161432266235
Mean,,,,,6.530578851699829
Total,,,,,71.83636736869812
Params: 4872192,,,,,
---,---,---,---,---,---
0,4.450326646209523,4.269590699672699,0.03597730891719745,0.06083984375,5.466078996658325
1,4.07671041853109,3.9584122478961943,0.07725417993630573,0.09384765625,5.431699514389038
2,3.8408154803476515,3.8131421566009522,0.11385350318471338,0.11748046875,5.496949911117554
3,3.7279320127645117,3.7376143515110014,0.13358379777070065,0.13115234375,5.821988344192505
4,3.653901323391374,3.703371077775955,0.1474671576433121,0.1388671875,5.496212482452393
5,3.602994680404663,3.6741863965988157,0.15490644904458598,0.14287109375,5.846532106399536
6,3.5618594512817965,3.645117437839508,0.16356488853503184,0.14814453125,5.7558207511901855
7,3.52872282684229,3.6321178436279298,0.17272093949044587,0.1517578125,5.7345757484436035
8,3.499794850683516,3.614441215991974,0.1768262340764331,0.1591796875,5.7473015785217285
9,3.474169084220935,3.6065520703792573,0.18157842356687898,0.1568359375,5.738844871520996
Mean,,,,,5.653600430488586
Total,,,,,62.18960473537445
Params: 95160,,,,,
---,---,---,---,---,---
0,4.440799324375809,4.264105653762817,0.03324044585987261,0.05234375,5.889248371124268
1,4.115907423055855,4.018766301870346,0.06667993630573249,0.0759765625,5.899321794509888
2,3.9278533473895614,3.893579548597336,0.09477010350318471,0.0994140625,5.864238262176514
3,3.817149554088617,3.818515020608902,0.11330613057324841,0.11533203125,5.847618103027344
4,3.744072399321635,3.778305637836456,0.12470143312101911,0.1181640625,5.847563743591309
